Medspa-LV	Las Vegas	(702) 485-3409
Azzure Med Spa	Las Vegas	(702) 659-9911
Chic la Vie Med Spa	Las Vegas	(702) 233-8535
Nuve Clinic Med Spa	Las Vegas	(702) 602-4030
Elysian MedSpa & Wellness	Las Vegas	(725) 253-2002
Love Your Body Medical Spa	Las Vegas	(702) 213-5948
Carolina Dentistry @ The StateLine	Charlotte	(704) 752-7602
Allure Dentistry	Charlotte	(704) 302-1919
Gentry Dental	Charlotte	(704) 554-1007
Charlotte Dentistry	Charlotte	(704) 285-0846
Dentistry of Uptown Charlotte	Charlotte	(704) 322-4935
Inspired Dentistry of Charlotte	Charlotte	(980) 595-8245
Charlotte Family Dentistry	Charlotte	(704) 247-6499
Providence Dentistry	Charlotte	(704) 246-5346
Charlotte Dental Arts	Charlotte	(704) 397-4332
Aspire Dental Wellness	Charlotte	(980) 999-4439
SouthView Cosmetic Dentistry	Charlotte	(704) 333-4760
Charlotte Center for Cosmetic Dentistry	Charlotte	(704) 364-4711
Midtown General & Cosmetic Dentistry	Charlotte	(704) 307-4525
Brady Family Dentistry	Charlotte	(704) 321-0414
Arizona Medical Medspa	Scottsdale	(480) 766-0550
It's a Secret Med Spa	Scottsdale	(480) 685-2647
The Skin Shop Medspa	Scottsdale	(480) 948-1759
SkinSpirit	Scottsdale	(480) 863-2800
Adam & Eve Medical Aesthetics	Scottsdale	(480) 771-2819
Scottsdale Center for Plastic Surgery	Scottsdale	(480) 423-1973
MDSkin Lounge	Scottsdale	(833) 640-2486
ZONA Med Spa	Scottsdale	(480) 299-4975
Blume Skin & Body	Scottsdale	(480) 699-7999
Glo Medspa	Scottsdale	(480) 245-6881
Derma Health Skin & Laser	Scottsdale	(480) 470-5747
Moderne Medical	Scottsdale	(480) 477-7726
Pearl Medspa	Scottsdale	(480) 409-2717
Alani Skin MD	Scottsdale	(480) 993-2218
Calvis Wyant Luxury Homes	Scottsdale	(480) 905-0200
BCB Homes	Naples	(239) 643-1004
Divco Custom Homes	Naples	(239) 592-7222
Toscana Homes	Naples	(239) 261-0600
Kaye Lifestyle Homes	Naples	(239) 434-5293
Diamond Custom Homes	Naples	(239) 325-4600
Borelli Construction of Naples	Naples	(239) 263-7900
Austin Pool and Spa Builders	Austin	(512) 877-0179
Tri-County Pools	Austin	(512) 990-9252
Cascade Custom Pools	Austin	(512) 264-2453
Front2Back Custom	Austin	(512) 696-4100
Athena Pools	Austin	(512) 914-0554
Innovative Pools and Spas	Austin	(512) 563-5958
Pond Springs Custom Pools	Austin	(512) 717-1788
GBIV Designs	Austin	(512) 268-9990
Pool Lux	Austin	(512) 761-0603
Miami Plastic Surgery	Miami	(305) 595-2969
Professional Plastic Surgery	Miami	(305) 448-6898
Chris Craft Plastic Surgery Center	Miami	(305) 596-9700
Miami Aesthetic	Miami	(305) 576-3443
Miami Beach Plastic Surgery	Miami	(305) 674-8586
Franklin Skin and Laser	Nashville	(615) 595-8177
Elan Skin and Laser	Nashville	(615) 814-4999
Robbins Plastic Surgery	Nashville	(615) 237-5552
BEYOND Collective	Nashville	(615) 327-0303
ReWind Medical Solutions	Nashville	(615) 721-5121
Hammers Law Firm	Atlanta	(770) 900-9000
Goldstein Hayes	Atlanta	(404) 869-8600
Tobin Injury Law	Atlanta	(404) 587-8423
Atlanta Personal Injury Law Group	Atlanta	(800) 900-0000
Georgia Injury Attorneys	Atlanta	(404) 602-0494
Slappey & Sadd	Atlanta	(404) 255-6677
Grant Law Office	Atlanta	(404) 995-3955
Graham Scofield	Atlanta	(404) 939-9470
Newport Beach MedSpa	Newport Beach	(949) 631-2800
OC Beauty Med Spa	Newport Beach	(949) 767-8886
Youvoria Aesthetics	Newport Beach	(949) 393-7600
Grey Aesthetics	Newport Beach	(949) 418-7495
Euphoria Medical Aesthetics	Newport Beach	(949) 736-5639
Ruther Family Dentistry	Cincinnati	(513) 489-5599
Fountain Square Dental Care	Cincinnati	(513) 621-2483
Bell Dental Group	Cincinnati	(513) 802-9440
Shertok Smiles	Cincinnati	(513) 721-5924
Cincinnati Dental Excellence	Cincinnati	(513) 793-1977
Greenhills Family Dentistry	Cincinnati	(513) 825-2121
Joe Isaacson Dental	Oklahoma City	(405) 943-8575
23rd Street Dental	Oklahoma City	(405) 963-2050
OKC Dental Arts	Oklahoma City	(405) 848-6743
Reflections Dental Care	Oklahoma City	(405) 751-4556
OKC Smiles	Oklahoma City	(405) 634-7303
Ring Family Dentistry	Oklahoma City	(405) 621-1555
George J. Naifeh DDS	Oklahoma City	(405) 755-3550
River City Family Dentistry	Louisville	(502) 893-0176
Springhurst Family & Cosmetic Dentistry	Louisville	(502) 423-9103
Schaefer Advanced Dentistry	Louisville	(502) 423-9555
William H. Smythe DMD	Louisville	(502) 448-2876
Springhurst Hills Dentistry	Louisville	(502) 365-9699
Knoxville Cosmetic & Family Dentistry	Knoxville	(865) 966-4035
Dean Cosmetic Dentistry	Knoxville	(865) 539-1119
Family Dentistry of Knoxville	Knoxville	(865) 345-5129
South Knox Dental	Knoxville	(865) 577-7535
Volunteer Dentistry	Knoxville	(865) 693-5030
West Knox Dentistry	Knoxville	(865) 966-0500
Pristine Smiles	Knoxville	(865) 693-9474
Heritage Family Dentistry	Knoxville	(865) 800-4664
Murphy Dental Center	Knoxville	(865) 219-5867
Landscape Connection	Littleton	(303) 791-3060
NexGen Constructors	Tampa	(727) 238-5477
