company,contactName,contactRole,email,phone,altPhone,industry,address,city,state,postalCode,country,timezone,companySize,employeeCount,locationCount,annualRevenue,yearFounded,originalWebsite,currentWebsite,googleRating,googleReviewCount,googleMapsUrl,instagramUrl,facebookUrl,linkedinUrl,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,notes,tags,doNotContact,doNotContactReason,leadScore,vercelPassword,invoicePdfUrl,painPoints,painPoint1,painPoint2,painPoint3,essentialPoint1,essentialPoint2,essentialPoint3,upsellPoint1,upsellPoint2,estimatedValue,lowestEstimate,highestEstimate,dateAdded,mockupUrl,clientTakenOn,nextFollowUp,assignedTo
Advanced Specialty Care & Med Spa,,,advancedspecialtycare@nampaobgyn.com,(208) 468-9400,,Med spa,,Boise,ID,,USA,America/Boise,small,,,,,https://idahoadvancedspecialtycare.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: she booked somewhere else

Hi [First Name],

Your reviews do the selling. I read them on my phone at 9pm in Boise and I was sold. Then I hit a phone number and office hours.

She doesn't call in the morning. She books the spa that let her book at 9pm.

Booking belongs on the homepage, next to the reviews, working at midnight.

I'd like to build it and show you. One homepage, designed for Advanced Specialty Care & Med Spa, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Worth a look? One word back and I'll start.

[Sender Name]
Bothmade","Subject: Advanced Specialty Care & Med Spa — built it

Here it is — Advanced Specialty Care & Med Spa, as promised.

Booking sits on the homepage next to your reviews. Two taps to Thursday at six. That's the part your site can't do tonight.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: is membership what you'd push hardest here, or first-visit tox?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research. Phone from a published listing.,"Med spa in Boise, ID. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;med-spa;ID;confirmed-email;has-phone,false,,85,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
Atlantis Pools & Spas,,,service@bestpoolguys.com,(918) 641-1100,,Pool building,,Tulsa,OK,,USA,America/Chicago,small,,,,,https://atlantispoolsandspasinc.com,"Build gallery buried under service copy. No starting price, so the enquiries are unqualified, and nothing holds the February looker until they buy in May.",,,,,,,cold-outreach,researched,"Subject: your build gallery

Hi [First Name],

Looked at Atlantis Pools & Spas the way a homeowner in Tulsa does — trying to find a build that looks like my backyard, at roughly my number. One long scroll, no way to narrow it, no price anywhere.

That's a ninety-thousand-dollar build going to the company that answered the money question first.

Gallery filterable by size, style and budget. A starting number said out loud.

I'd like to build it and show you. One homepage, designed for Atlantis Pools & Spas, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Want it?

[Sender Name]
Bothmade","Subject: built it

Built it. Here.

Builds filterable by size, style and budget band, with a starting range stated plainly and a timeline from signing to swimming.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would you publish a starting price, or does that cost you more than it wins?

[Sender Name]","the gallery cannot be sorted, so nobody finds a build that looks like their own yard",Address published by the business itself — verified in research. Phone from a published listing.,"Pool building in Tulsa, OK. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;pool-building;OK;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,weak-branding",The build gallery is what sells and it is buried: nobody buys a pool from a spec list.,No price band anywhere: a homeowner has no idea whether you build forty-thousand pools or hundred-and-forty.,"A season-long sales cycle with nothing to hold the enquiry: they look in February and buy in May, from whoever stayed in front of them.","Build gallery front and centre: full-bleed, phone-first, filterable by style.",A starting price said out loud: so the enquiries you get are ones you want.,Consultation booking online: at the hour people daydream about this.,Design visualiser or 3D walkthrough: the thing that closes the February looker.,Service and maintenance signup: revenue after the build is paid for.,10000,"$5,000","$18,000",06082026,,,,
Unique Custom Home Plans,,,contact@uniquecustomhomeplans.com,(402) 672-0419,,Custom home building,,Omaha,NE,,USA,America/Chicago,small,,,,,https://uniquecustomhomeplans.com,"The portfolio is the entire sale and it is presented small, slow and desktop-first. No price band, and nothing explaining how the process works, which is the real fear with a custom build.",,,,,,,cold-outreach,researched,"Subject: the inquiry that wasted your Tuesday

Hi [First Name],

Went through Unique Custom Home Plans' portfolio the way a couple with a lot and three million dollars does — hunting for the one house that looks like the one in their head. Couldn't sort by budget, style or scope. Just scrolled.

That's a real project deciding you're not the one, on no evidence either way.

Portfolio filterable by budget band, style and scope. Inquiry that asks about the lot, the number and the timing.

Let me build it for you. A real homepage for Unique Custom Home Plans, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Want it?

[Sender Name]
Bothmade","Subject: built it

Here it is — Unique Custom Home Plans, as promised.

Portfolio filterable by budget, style and scope — so a couple with a specific project finds theirs in about nine seconds. Inquiry that arrives with the lot, the number and the timing on it.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: what do you wish every inquiry told you before you called them back?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research. Phone from a published listing.,"Custom home building in Omaha, NE. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;custom-home-building;NE;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,weak-branding",The portfolio is the entire sale and it is presented badly: a phone-sized gallery of finished homes is what wins a build.,No price band anywhere: a client with a budget cannot tell whether you are their builder or twice their budget.,"Nothing about how the process works: the fear with a custom build is the unknown, not the price.","Portfolio built for a phone: full-bleed, fast, filterable by style and size.","A price band stated out loud: per square foot or per project, so the wrong enquiries stop.",The process explained: what happens between the first meeting and the keys.,Client build portal: selections and progress without the weekly phone call.,Land and lot listings: the enquiry that starts before there is a plan.,22000,"$12,000","$35,000",06082026,,,,
Nuyu Med Spa,,,info@nuyumedspanm.com,(505) 681-6657,,Med spa,,Albuquerque,NM,,USA,America/Denver,small,,,,,https://nuyumedspanm.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: she booked somewhere else

Hi [First Name],

Your reviews do the selling. I read them on my phone at 9pm in Albuquerque and I was sold. Then I hit a phone number and office hours.

A booking a night walks that way. Silently. No missed call, no voicemail, nothing to review on Monday.

Booking belongs on the homepage, next to the reviews, working at midnight.

I'd like to build it and show you. One homepage, designed for Nuyu Med Spa, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Want it?

[Sender Name]
Bothmade","Subject: built it

Here it is — Nuyu Med Spa, as promised.

Booking sits on the homepage next to your reviews. Two taps to Thursday at six. That's the part your site can't do tonight.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: is membership what you'd push hardest here, or first-visit tox?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research. Phone from a published listing.,"Med spa in Albuquerque, NM. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;med-spa;NM;confirmed-email;has-phone,false,,85,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
Reverse MedEsthetics and Health Spa,,,info@reversemedicalspaabq.com,(505) 377-4581,,Med spa,,Albuquerque,NM,,USA,America/Denver,small,,,,,https://reversemedicalspaabq.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: she booked somewhere else

Hi [First Name],

Your reviews do the selling. I read them on my phone at 9pm in Albuquerque and I was sold. Then I hit a phone number and office hours.

She doesn't call in the morning. She books the spa that let her book at 9pm.

Booking belongs on the homepage, next to the reviews, working at midnight.

I'd like to build it and show you. One homepage, designed for Reverse MedEsthetics and Health Spa, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: here it is

Here it is — Reverse MedEsthetics and Health Spa, as promised.

Booking sits on the homepage next to your reviews. Two taps to Thursday at six. That's the part your site can't do tonight.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: is membership what you'd push hardest here, or first-visit tox?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research. Phone from a published listing.,"Med spa in Albuquerque, NM. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;med-spa;NM;confirmed-email;has-phone,false,,85,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
ABQ Medical Spa,,,ABQmedicalSpa@gmail.com,(505) 433-3072,,Med spa,,Albuquerque,NM,,USA,America/Denver,small,,,,,https://medspaalbuquerque.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: the booking you lost last night

Hi [First Name],

Found ABQ Medical Spa at 9pm on my phone, the way your next client will. The reviews sold me in about forty seconds. Then the only way to book was a phone number and a front desk that shut at five.

That's the sale, right there. She books wherever the button is, and you never find out you lost her.

Booking belongs on the homepage, next to the reviews, working at midnight.

Let me build it for you. A real homepage for ABQ Medical Spa, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Say yes and it's yours by Friday.

[Sender Name]
Bothmade","Subject: built it

Here it is.

Booking sits on the homepage next to your reviews. Two taps to Thursday at six. That's the part your site can't do tonight.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: is membership what you'd push hardest here, or first-visit tox?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research. Phone from a published listing.,"Med spa in Albuquerque, NM. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;med-spa;NM;confirmed-email;has-phone,false,,85,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
Parsons Custom Builders,,,info@parsonscustombuilders.com,(509) 928-9008,,Custom home building,,Spokane,WA,,USA,America/Los_Angeles,small,,,,,https://parsonscustombuilders.com,"The portfolio is the entire sale and it is presented small, slow and desktop-first. No price band, and nothing explaining how the process works, which is the real fear with a custom build.",,,,,,,cold-outreach,researched,"Subject: they couldn't find their house

Hi [First Name],

Looked at Parsons Custom Builders as a client would in Spokane: trying to find the project that matches my lot and my number. Gave up before I found it.

And the inquiries that do land ask for a name and a message, so your first call is an interview instead of a conversation.

Sort the work the way buyers actually choose, and put the process where the fear is.

Here's my offer. I'll design that page for Parsons Custom Builders and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Should I send it over?

[Sender Name]
Bothmade","Subject: Parsons Custom Builders — built it

Here it is — Parsons Custom Builders, as promised.

Projects sortable the way buyers choose, and the build process laid out month by month, which is the part they're actually frightened of.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you ever show budget bands publicly, or is that a fight with your sales process?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research. Phone from a published listing.,"Custom home building in Spokane, WA. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;custom-home-building;WA;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,weak-branding",The portfolio is the entire sale and it is presented badly: a phone-sized gallery of finished homes is what wins a build.,No price band anywhere: a client with a budget cannot tell whether you are their builder or twice their budget.,"Nothing about how the process works: the fear with a custom build is the unknown, not the price.","Portfolio built for a phone: full-bleed, fast, filterable by style and size.","A price band stated out loud: per square foot or per project, so the wrong enquiries stop.",The process explained: what happens between the first meeting and the keys.,Client build portal: selections and progress without the weekly phone call.,Land and lot listings: the enquiry that starts before there is a plan.,22000,"$12,000","$35,000",06082026,,,,
Iowa Landscape Group,,,admin@iowalg.com,(515) 979-9781,,Landscape design build,,Des Moines,IA,,USA,America/Chicago,small,,,,,https://iowalandscapegroup.com,"Portfolio images are too small and too slow to do six-figure work justice. No project budget bands, and a plain contact form as the only way to start.",,,,,,,cold-outreach,researched,"Subject: design fee, unsaid

Hi [First Name],

Went through Iowa Landscape Group's work the way a homeowner commissioning a garden does. It's beautiful. It's also one long scroll — no way to narrow by style, scale or budget, and nothing about what design costs.

And the inquiries that land are vague, so the first call is about scope instead of the garden.

Projects filterable by style, scale and budget. The design process spelled out so the brief arrives specific.

Let me build it for you. A real homepage for Iowa Landscape Group, on me, before we ever talk money. If it's good you'll know in ten seconds. If it isn't, you've lost nothing.

Want me to build it?

[Sender Name]
Bothmade","Subject: Iowa Landscape Group — built it

Here it is.

Projects filterable by style, scale and budget band, with the design process spelled out — so the brief that reaches you already knows what it's asking for.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One question: would publishing a design fee range help you or cost you?

[Sender Name]","design-led buyers choose from images and yours cannot be narrowed by style, scale or budget",Address published by the business itself — verified in research. Phone from a published listing.,"Landscape design build in Des Moines, IA. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;landscape-design-build;IA;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,weak-branding",The portfolio does not look like the work: high-end landscape is bought on images and the images are small and slow.,No project budget guidance: the difference between a planting plan and a full build is fifty thousand dollars and the site says neither.,No way to start a conversation properly: a contact form for a six-figure project.,"Portfolio that does the work justice: large, fast, phone-first, by project type.",Project budget bands stated: so the enquiries match the work you want.,Consultation booking with the right questions asked up front.,Design package sold online: a paid first step that qualifies hard.,Maintenance contracts online: recurring revenue off the builds you already did.,9000,"$5,000","$16,000",06082026,,,,
Bugle Construction,,,info@bugleconstruction.com,(208) 457-7150,,Custom home building,,Spokane,WA,,USA,America/Los_Angeles,small,,,,,https://bugleconstructionanddecking.com,"The portfolio is the entire sale and it is presented small, slow and desktop-first. No price band, and nothing explaining how the process works, which is the real fear with a custom build.",,,,,,,cold-outreach,researched,"Subject: filtering your projects

Hi [First Name],

Looked at Bugle Construction as a client would in Spokane: trying to find the project that matches my lot and my number. Gave up before I found it.

That's a real project deciding you're not the one, on no evidence either way.

Portfolio filterable by budget band, style and scope. Inquiry that asks about the lot, the number and the timing.

I'd like to build it and show you. One homepage, designed for Bugle Construction, free. Not a template with your logo on it. The real thing, and it's yours whether we work together or not.

Want me to build it?

[Sender Name]
Bothmade","Subject: built it

Here it is — Bugle Construction, as promised.

Portfolio filterable by budget, style and scope — so a couple with a specific project finds theirs in about nine seconds. Inquiry that arrives with the lot, the number and the timing on it.

It's a design, not a build — nothing clicks yet. Didn't want to fake a demo.

One thing I'd want your answer on: what do you wish every inquiry told you before you called them back?

[Sender Name]","the portfolio is the whole sale and there is no way to sort it by budget, style or scope",Address published by the business itself — verified in research. Phone from a published listing.,"Custom home building in Spokane, WA. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;custom-home-building;WA;confirmed-email;has-phone,false,,85,,,"not-mobile-friendly,outdated-design,weak-branding",The portfolio is the entire sale and it is presented badly: a phone-sized gallery of finished homes is what wins a build.,No price band anywhere: a client with a budget cannot tell whether you are their builder or twice their budget.,"Nothing about how the process works: the fear with a custom build is the unknown, not the price.","Portfolio built for a phone: full-bleed, fast, filterable by style and size.","A price band stated out loud: per square foot or per project, so the wrong enquiries stop.",The process explained: what happens between the first meeting and the keys.,Client build portal: selections and progress without the weekly phone call.,Land and lot listings: the enquiry that starts before there is a plan.,22000,"$12,000","$35,000",06082026,,,,
Savvy Skin Medical Aesthetics,,,info@savvyskinmedspa.com,(912) 351-9229,,Med spa,,Savannah,GA,,USA,America/New_York,small,,,,,https://savvyskinmedspa.com,"Reviews and treatment photos do the selling and both sit below a phone number that stops answering at five. No online booking, no prices, and the whole thing was built for a desktop.",,,,,,,cold-outreach,researched,"Subject: reviews vs booking button

Hi [First Name],

Your reviews do the selling. I read them on my phone at 9pm in Savannah and I was sold. Then I hit a phone number and office hours.

She doesn't call in the morning. She books the spa that let her book at 9pm.

Treatments priced, bookable in two taps, reviews right beside them.

Here's my offer. I'll design that page for Savvy Skin Medical Aesthetics and send it over. No charge, no meeting to get it, no invoice at the end. Keep it either way — I'd rather you saw the work than read about it.

Should I send it over?

[Sender Name]
Bothmade","Subject: built it

Here it is — Savvy Skin Medical Aesthetics, as promised.

Treatments priced, bookable in two taps, reviews doing the closing right beside them. Memberships obvious instead of three pages deep.

Static design, so nothing on it works yet. I'd rather show you the real idea than a fake demo.

One question: would you let a new client book without a consult call first?

[Sender Name]",the reviews do the selling and the booking is a phone number that stops answering at five,Address published by the business itself — verified in research. Phone from a published listing.,"Med spa in Savannah, GA. Researched 6 Aug 2026; email confirmed on a published listing, phone confirmed on a published listing.",field-run-011;med-spa;GA;confirmed-email;has-phone,false,,85,,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.,10000,"$5,000","$18,000",06082026,,,,
