company,email,painPoints,painPoint1,painPoint2,painPoint3,essentialPoint1,essentialPoint2,essentialPoint3,upsellPoint1,upsellPoint2
12 Oaks Dental,,"no-booking,not-mobile-friendly,outdated-design","Case work buried: a smile-makeover patient researches for months alone at night, and the before-and-afters are two menus deep.",No price range anywhere: the biggest case of the month wants a number before they will pick up the phone.,Booking that needs the front desk awake: the consult request that would have come in at nine at night never comes in at all.,"Case gallery up front: filterable by treatment, sized for a phone.","A price range said out loud: in real numbers, with financing mentioned before they ask.",Consult booking on the same screen: not behind a form that goes to an inbox.,Financing pre-qualification: the objection handled before the call.,"Automated recall and reactivation: the patients you already have, coming back."
41 West,info@41west.com,"not-mobile-friendly,outdated-design,weak-branding",The portfolio is the entire sale and it is presented badly: a phone-sized gallery of finished homes is what wins a build.,No price band anywhere: a client with a budget cannot tell whether you are their builder or twice their budget.,"Nothing about how the process works: the fear with a custom build is the unknown, not the price.","Portfolio built for a phone: full-bleed, fast, filterable by style and size.","A price band stated out loud: per square foot or per project, so the wrong enquiries stop.",The process explained: what happens between the first meeting and the keys.,Client build portal: selections and progress without the weekly phone call.,Land and lot listings: the enquiry that starts before there is a plan.
4Ever Young Med Spa & Wellness,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.
61Five Health & Wellness,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.
A1 Building Concepts,,"not-mobile-friendly,outdated-design,no-booking",Before-and-afters are the whole pitch and they are hard to reach: a remodel is bought with the eyes.,No budget guidance at all: every enquiry starts with a conversation about whether they can afford you.,No way to book a consultation: the form goes to an inbox and the momentum dies over the weekend.,"Before-and-after galleries by room: sized for a phone, quick to scroll.","Budget ranges stated: typical spend for a kitchen and for a bath, plainly.",Consultation booking online: while they are still looking at the photos.,"Design questionnaire before the visit: a shorter, better first meeting.",Financing pre-qualification: the objection handled before you drive out there.
AIR Kitchen and Bath,info@airkitchenandbath.com,"not-mobile-friendly,outdated-design,no-booking",Before-and-afters are the whole pitch and they are hard to reach: a remodel is bought with the eyes.,No budget guidance at all: every enquiry starts with a conversation about whether they can afford you.,No way to book a consultation: the form goes to an inbox and the momentum dies over the weekend.,"Before-and-after galleries by room: sized for a phone, quick to scroll.","Budget ranges stated: typical spend for a kitchen and for a bath, plainly.",Consultation booking online: while they are still looking at the photos.,"Design questionnaire before the visit: a shorter, better first meeting.",Financing pre-qualification: the objection handled before you drive out there.
Advanced Fertility Center of Chicago,info@advancedfertility.com,"no-booking,not-mobile-friendly,outdated-design",Success rates hard to find: it is the only number a patient is actually comparing you on.,"Costs not stated: the single biggest source of anxiety, left to a phone call they are afraid to make.","Consult booking behind a form: read on Monday, by which point they have booked elsewhere.","Success rates stated plainly: by age band, where a patient can find them.","Costs and financing up front: what a cycle runs to, said out loud.",Consult booking online: at the hour people actually research this.,Patient portal: paperwork and results without the phone tag.,Automated nurture for enquiries: the months between first look and first cycle.
Aeris Plastic Surgery,info@aeris.co,"no-booking,not-mobile-friendly,outdated-design",The gallery is the whole sale and it is buried: results sit three taps deep in a viewer that fights a phone.,"Consult requests only in office hours: the decision is live for about four minutes, at eleven at night.","Nothing filterable by procedure: she wants her procedure, on her body type, and gets a slideshow.","Results first: filterable by procedure, built for a phone because that is the device.","Consult request on every screen: no phone call, no waiting for Monday.","Procedure pages that answer the real questions: recovery, cost, who is a candidate.","Virtual consult booking: a paid consult taken online, before they cool off.",Financing pre-qualification: the objection handled before the call.
Aesthetica Med Spa,,"no-booking,not-mobile-friendly,outdated-design","No booking after hours: the decision to book happens at nine at night on a phone, and the only way in is a front desk that shut at five.","Treatments with no prices: she has to ring and ask what tox costs, which is the one call a first-timer will not make.",Reviews doing the selling on the wrong page: the thing that closes her is two clicks from where she lands.,"Booking on the homepage: live at midnight, two taps, no phone call.",Treatment menu with prices: stated plainly so nobody has to ring to find out.,Reviews beside the booking button: the proof and the action on one screen.,Membership signup online: recurring revenue that does not need the front desk.,Automated reminders and rebooking: fewer no-shows without anybody chasing.
Alair Homes Dallas,,"not-mobile-friendly,outdated-design,weak-branding",The portfolio is the entire sale and it is presented badly: a phone-sized gallery of finished homes is what wins a build.,No price band anywhere: a client with a budget cannot tell whether you are their builder or twice their budget.,"Nothing about how the process works: the fear with a custom build is the unknown, not the price.","Portfolio built for a phone: full-bleed, fast, filterable by style and size.","A price band stated out loud: per square foot or per project, so the wrong enquiries stop.",The process explained: what happens between the first meeting and the keys.,Client build portal: selections and progress without the weekly phone call.,Land and lot listings: the enquiry that starts before there is a plan.
