company,contactRole,email,industry,city,state,country,originalWebsite,siteVerdict,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,Pain point 1,Pain point 2,Pain point 3,Essential point 1,Essential point 2,Essential point 3,Upsell point 1,Upsell point 2,painPointTags,estimatedValue,lowestEstimate,highestEstimate,dateAdded
Banker Wire,Director of Marketing,sales@bankerwire.com,Woven wire mesh manufacturing,Mukwonago,WI,USA,https://www.bankerwire.com,"Genuinely good photography and real spec data, but every mesh pattern is its own page. No way to filter by open area, wire diameter or alloy, and no way to put two patterns next to each other.",cold-outreach,researched,"Subject: Several hundred meshes, one list of pages

Hi [First Name],

I've been going through bankerwire.com the way a specifier would: architectural mesh for a lobby feature wall, needs a defensible open area, a wire diameter that survives value engineering, and a sample in someone's hand this week.

The photography is genuinely better than anyone else's in this category — the mesh looks like the material rather than like a render, and the spec data is actually there.

But there's a structural problem underneath it that isn't anyone's fault. You weave several hundred valid patterns across a handful of alloys and finishes, and a website can only ever show those as a list of pages. Someone picking mesh isn't reading, they're narrowing: open area first, then wire diameter, then whether it can be woven in the alloy the corrosion spec demands. You can't narrow a list of pages, so they scroll until they get bored and call whoever they used last time.

I built one screen to show what a proper mesh selector would look like sitting inside your existing site. Nothing redesigned, your brand untouched — just the tool. Two minutes to look at, and I'm not going to chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Filters down the left — open area, wire diameter, alloy, weave — and the results narrow as you move them. You can put two meshes side by side at the same scale, which is the bit that can't happen today. Spec, physicals and the sample request all sit on the same card.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on, whether or not this goes anywhere: is open area the first thing your specifiers actually narrow on, or is it alloy? And is there a filter in there you'd cut?

[Sender Name]","You make several hundred valid mesh patterns and the website can only show them as a list of pages — an architect choosing mesh is filtering by open area and wire diameter, not reading.","Lead with the filter, not the redesign. Their photography is genuinely excellent and saying so first is what earns the rest of the email.",architectural-metal;catalogue-depth;field-run-002,86,"Patterns are pages, not results: several hundred meshes shown as a browsable list, so the specifier scrolls instead of narrowing.",No side-by-side: choosing between two meshes means two browser tabs and a guess about scale.,"Spec sheet, physicals and sample request live on three different screens, so the one action you want costs three.","Filterable pattern selector: open area, wire diameter, alloy, weave — results update live instead of loading a new page. | $9,500","Compare tray: two or three meshes side by side at the same scale, which is the moment the decision actually gets made. | $4,200","One card per mesh: spec, physicals, CAD and the sample request in the same place, so nothing sends them back to the menu. | $3,400","Sample request that knows what they were looking at: the pattern, alloy and finish arrive with the request, not in a free-text box. | $2,600","Project-based sample kits for the specifiers who order five meshes a quarter — repeat orders without a phone call. | $3,800",no-website;poor-seo;manual-processes,24000,"$16,000","$34,000",06082026
Ohio Gratings,Director of Business Development,sales@ohiogratings.com,Metal bar grating manufacturing,Sandusky,OH,USA,https://www.ohiogratings.com,Load tables are PDFs. The engineer arrives knowing a span and a load and has to download three documents to find out which grating carries it.,cold-outreach,researched,"Subject: Your load tables are a PDF

Hi [First Name],

I went through ohiogratings.com the way a structural engineer would on a Tuesday afternoon: a mezzanine walkway, a known span, a known live load, and a need to know which grating carries it before the drawing goes out.

The product range is clearly deep and the fabrication capability is obvious from the site. That part comes across.

But there's a structural problem underneath it that isn't anyone's fault. Every engineer arrives with exactly the same question — what carries this span at this load — and the answer lives in a PDF load table they have to download, open and read across a grid. Bearing bar spacing, depth, material and surface are four separate decisions, and the site has no way to hold three of them still while they vary the fourth. So the fastest path to an answer is emailing your inside sales team, and they email your inside sales team about the same thing four hundred times a year.

I built one screen to show what that question looks like when the site answers it: span and load in, the gratings that carry it out. Inside your existing site, nothing redesigned. Two minutes to look at, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Span and load at the top, the gratings that carry it underneath, sorted by weight. Change the span and the list re-sorts. Each result shows deflection at that load and links straight to a quantity request that already knows what you picked — which is the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions I'd genuinely like your answer to, whether or not this goes anywhere: is deflection the number your engineers check second, or is it weight? And how often does an engineer arrive knowing the load but not the span?

[Sender Name]","An engineer arrives at your site knowing a span and a load, and has to open three PDF load tables to find out which grating carries it — that is a calculator, not a download.",Their engineers are the buyers here. Sell the calculator — the design is downstream of it.,industrial-manufacturing;spec-data;field-run-002,84,Load tables are PDFs: the one question every visitor arrives with is answered by a document they have to download and read sideways.,"Bearing bar spacing, depth, material and surface are four independent choices with no way to hold three still and vary the fourth.","No way to get from ""this one carries the load"" to a quantity request without leaving the page.","Load calculator: span in, load in, the gratings that carry it out — the PDF becomes an answer instead of homework. | $8,800","Product selector on bar spacing, depth, material and surface, filtering live rather than paging. | $6,400","Quote request that carries the configuration with it, so nobody retypes a spec into an email. | $3,200","Downloadable submittal package generated from the selection — the thing the contractor asks for two weeks later. | $4,400","Saved projects so a repeat engineer picks up where they left off. | $2,900",outdated-design;manual-processes;poor-seo,21000,"$14,000","$31,000",06082026
Ludowici Roof Tile,Director of Marketing,info@ludowici.com,Architectural clay roof tile,New Lexington,OH,USA,https://www.ludowici.com,"Beautiful project photography. Profiles and glazes are indexed separately, so the one thing an architect wants — this profile in that glaze — is the one thing the site cannot show.",cold-outreach,researched,"Subject: Profile in glaze — the one view you don't have

Hi [First Name],

I've been going through ludowici.com the way an architect on a restoration would: a clay tile profile that matches a 1920s roof, in a glaze that matches what's left of the original, with enough documentation to survive a review board.

The project photography is exceptional and the archive behind it is a genuine competitive moat. Nobody else in the category has a hundred years of proof.

But there's a structural problem underneath it that isn't anyone's fault. Profiles live in one index and glazes live in another, so the single question every architect actually has — what does this profile look like in that glaze — is the one thing the website cannot show them. They shortlist from memory, order samples of the wrong combination, and lose three weeks. Multiply that by sixty glazes and it stops being a website problem and starts being a specification problem.

I built one screen to show what that view looks like: choose the profile, change the glaze, see it. Sitting inside your existing site, your brand untouched — just the tool. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Profile on the left, glazes along the bottom. Pick a profile, move through the glazes and the roof updates — that's the view you can't give anyone today. Filters narrow the glazes by colour family and sheen, and the sample request carries both choices with it so nobody types ""the red one"" into a form.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions, whether or not this goes anywhere: do architects come to you with the profile fixed and the glaze open, or the other way round? And would you want the historical archive filtering the same way?

[Sender Name]","Your profiles and your glazes are indexed separately, so the single question every architect has — what does this profile look like in that glaze — is the one thing the site cannot answer.","Heritage is their moat — do not pitch modernisation. Pitch showing the combination, which their competitors cannot do either.",building-products;visual-selection;field-run-002,88,"Profiles and glazes are two separate lists: the combination is what gets specified, and the combination is what the site never shows.","Sixty-plus glazes shown as chips on a page, with no way to narrow by colour family, sheen or era.",A hundred-year-old archive of restoration work sits in project photos rather than being searchable by tile.,"Profile × glaze viewer: pick a profile, change the glaze, see it — the decision made on a screen instead of on a sample board six weeks later. | $9,800","Glaze filtering by colour family, sheen and historical period, so the shortlist happens in a minute. | $4,600","Sample and spec request from the combination itself, carrying both choices with it. | $3,200","Searchable restoration archive: which tile is on which landmark, which is the story only you can tell. | $5,500","Architect account with saved palettes for firms that specify you repeatedly. | $3,400",outdated-design;manual-processes,27000,"$18,000","$38,000",06082026
Endicott Clay Products,Director of Sales,endicott@endicott.com,Face brick and thin brick manufacturing,Fairbury,NE,USA,https://endicott.com,"Colour range is the product and the site shows it as a grid of swatches with no filtering by texture, size or blend — brick selection is visual narrowing and the site offers none.",cold-outreach,researched,"Subject: A 2-inch swatch and a building

Hi [First Name],

I went through endicott.com the way an architect picking face brick does: a mid-rise elevation, a colour that has to work against grey glass, and a client who will approve it from a screen before anyone orders a sample.

The range itself is the strength — the depth of colour and texture you carry is obvious, and the project photography backs it up.

But there's a structural problem underneath it that isn't anyone's fault. Brick selection is visual narrowing: tone first, then texture, then size, then blend. Your colours are laid out as one long grid with nothing to narrow them by, so the architect scrolls past ninety options to find the six they'd consider. And every one of those decisions gets made from a 2-inch swatch, when what they're actually specifying is a wall — different scale, different mortar, different answer.

I built one screen to show what that looks like when the site does the narrowing and then shows the brick at wall scale, in the bond they're drawing. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Filters down the left — tone, texture, size, blend — and the grid narrows as you use them. Click a brick and it lays up at wall scale in the bond you choose, with the mortar colour switchable, which is the bit that can't happen today. Sample request and nearest distributor sit on the same card.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions I'd like your view on either way: is mortar colour something your architects want to play with here, or does that happen later with the mason? And would you cut the blend filter?

[Sender Name]","Brick selection is visual narrowing — colour, then texture, then size — and your colour range is shown as one long grid of swatches with nothing to narrow it by.",The wall-scale view is the wedge. Every masonry manufacturer shows swatches; nobody shows the wall.,masonry;visual-selection;field-run-002,83,"One long grid of colours with no filter by texture, size or blend, so the specifier scrolls past ninety options to find six.",No way to see a colour laid up in a bond pattern at wall scale — a 2-inch swatch and a building are not the same decision.,Sample requests and distributor lookups sit in different corners of the site from the colour that prompted them.,"Colour selector filtering by tone, texture, size and blend, updating live. | $7,600","Wall-scale preview: the selected brick laid up in the bond the architect is actually drawing. | $6,800","Sample request tied to the selection, plus the nearest distributor shown with it. | $3,600","Blend builder: three colours, one ratio, one image the architect can put in a presentation. | $5,200","Project gallery filtered by the brick used rather than by building type. | $3,100",outdated-design;not-mobile-friendly;manual-processes,23000,"$15,000","$33,000",06082026
Móz Designs,VP of Sales,info@mozdesigns.com,Architectural metal panels and surfaces,Oakland,CA,USA,https://www.mozdesigns.com,"Strong visual brand. Patterns, colours and finishes multiply into thousands of valid combinations that the site presents as curated collections — beautiful, but not selectable.",cold-outreach,researched,"Subject: Thousands of combinations, twelve collections

Hi [First Name],

I've been through mozdesigns.com the way an interior designer would with a hospitality lobby to clad: a metal that reads warm, in a pattern that survives being seen from six feet, in a finish that a facilities team can wipe down.

The visual identity is doing real work — the site looks like the material, which most metal manufacturers never manage.

But there's a structural problem underneath it that isn't anyone's fault. Patterns times colours times finishes is several thousand valid combinations, and a website can only ever present those as curated collections. So a designer sees twelve beautiful stories and never sees the range. The combination they actually want gets described in an email, rendered by your team, and comes back two days later — by which point the mood board has moved on.

I built one screen to show what a proper combination selector would look like sitting inside your existing site. Nothing redesigned, your brand untouched — just the tool. Two minutes to look at, and I'm not going to chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Pattern, colour and finish across the top, the panel updating underneath as you change any of them. Combinations you can't actually produce grey out rather than being offered, which is the bit that can't happen today. Spec sheet and sample request come off whatever's on screen.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd genuinely like your view on, whether or not this goes anywhere: does a designer start from pattern or from colour? And would you want the collections kept as a starting point on top of this, or does the selector replace them?

[Sender Name]","Patterns times colours times finishes is several thousand valid combinations, and the site presents them as curated collections — which is beautiful to browse and impossible to select from.",Design-led buyer. The configurator has to look like their brand or it dies on arrival — say that in the first call.,architectural-metal;configurator;field-run-002,87,"Thousands of valid combinations presented as a dozen curated collections, so the designer sees the styling and not the range.","No configurator: the combination a designer wants is described in an email and rendered by your team, days later.","Finish, substrate and application constraints live in the sales conversation rather than on the page.","Combination configurator: pattern, colour and finish chosen on screen, rendered instantly at panel scale. | $11,500","Constraint logic so impossible combinations never get specified in the first place. | $5,400","Spec sheet and sample request generated from whatever they configured. | $3,800","Shareable configuration links for the designer presenting to their client. | $3,600","Designer accounts with saved combinations across projects. | $3,200",manual-processes;disconnected-tools,30000,"$20,000","$42,000",06082026
Rimex Metals USA,National Sales Manager,sales@rimexmetals.com,Patterned and coloured stainless steel,Woodbridge,NJ,USA,https://www.rimexmetals.com,Patterns and colours are catalogued as separate PDFs. An architect wanting a specific pattern in a specific colour has to imagine it or ask.,cold-outreach,researched,"Subject: Two PDFs that never meet

Hi [First Name],

I went through rimexmetals.com the way an architect specifying an elevator interior would: a textured stainless that hides fingerprints, in a colour that matches a lobby palette, at a sheet size that fits the cab without a seam down the middle.

The material itself is doing something most stainless can't, and the project work shows it.

But there's a structural problem underneath it that isn't anyone's fault. The patterns are in one catalogue and the colours are in another, and a PDF can't show you the intersection. So the combination that actually gets specified — this texture, that colour, at that sheet size — exists nowhere on the site. The architect either imagines it and gets it wrong, or emails your team and waits. And the sheet-size limit that makes the whole thing buildable or not only comes up on the phone, after the drawing is done.

I built one screen to show what those two catalogues look like as one selector, with the constraints attached. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Pattern down the left, colour along the top, the sheet shown at scale in the middle. Pick an application — elevator, facade, column cover — and the sheet size and thickness limits come with it, so what's on screen is something you can actually produce. That's the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions I'd like your answer to either way: is application the right first filter, or do architects arrive with the pattern already chosen? And is there a constraint I've left off that kills more jobs than sheet size?

[Sender Name]","Your patterns and your colours are two separate PDFs, so an architect wanting a specific pattern in a specific colour has to imagine the combination or email someone for it.","Direct Rigidized competitor — same structural problem, and worth saying we understand this category rather than websites generally.",architectural-metal;catalogue-depth;field-run-002,85,"Pattern catalogue and colour catalogue are separate PDF downloads, so the combination never appears anywhere.","No filtering by application — elevator interiors, facades and column covers all take different sheet limits and nothing says so.",Sheet size and thickness constraints only surface once someone is on the phone with your team.,"Pattern × colour viewer with the sheet shown at scale, not as two catalogue thumbnails. | $9,200","Application filter carrying the sheet-size and thickness limits with it, so specs come in buildable. | $5,600","Sample and spec request generated from the combination on screen. | $3,400","Elevator interior configurator — your highest-repeat application, made self-serve. | $6,200","Fabricator-facing page with tolerances and handling, so the sheet arrives on site undamaged. | $2,800",outdated-design;manual-processes;poor-seo,25000,"$17,000","$36,000",06082026
Julius Blum & Co.,Director of Sales,sales@juliusblum.com,Architectural metal components,Carlstadt,NJ,USA,https://www.juliusblum.com,"The catalogue is legendary and it is a PDF. Thousands of components, indexed by page number, searchable only by someone who already knows what they are looking for.",cold-outreach,researched,"Subject: The catalogue everyone knows by page number

Hi [First Name],

I went through juliusblum.com the way a fabricator would with a handrail detail to resolve: a specific profile, in bronze, at a dimension that matches an existing installation from the 1970s.

The catalogue is genuinely an asset. Half this trade learned handrail components out of your book, and that is not something a competitor can build.

But there's a structural problem underneath it that isn't anyone's fault. Thousands of components, indexed by page number, in a PDF — which works perfectly for the people who already know it by heart, and not at all for anyone else. The fabricators who grew up with the printed catalogue are retiring. The ones replacing them search: by dimension, by profile, by material. Nothing on the site answers a search like that, so they either call your inside sales team or they specify whatever their supplier stocks.

I built one screen to show what the catalogue looks like when it's searchable — same components, same numbering, findable by dimension. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Search at the top, filters down the left — profile, material, dimension, application — and the components narrow as you go. Every result keeps its catalogue number, and the old page numbers still find the right part, so nobody who knows the book has to relearn it. Each component gets its own page with the drawing on it, which is also the bit that makes them findable on Google for the first time.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions, whether or not this goes anywhere: is dimension the search your inside sales team fields most, or is it material? And would you want the printed catalogue kept as a download alongside this?

[Sender Name]","Your catalogue is legendary in the trade and it is a PDF — thousands of components indexed by page number, which only works for the people who already know it by heart.","The retirement argument lands with this buyer. Their catalogue is an asset — the pitch is making it searchable, not replacing it.",industrial-manufacturing;catalogue-depth;field-run-002,89,Thousands of components live in a PDF catalogue indexed by page number — findable only by someone who already knows it.,"No search by dimension, material or profile, so the fabricator who does not have the book calls instead.","A whole generation of fabricators who grew up with the printed catalogue is retiring, and the ones replacing them search.","Searchable component catalogue: dimension, material, profile and application, results live. | $12,000","Every component as its own page with drawings, dimensions and finishes — findable by search engines for the first time. | $7,400","Quote request carrying part numbers and quantities out of the search results. | $3,600","CAD and BIM downloads per component, which is how specifiers lock you into a drawing. | $5,800","Cross-reference from the printed catalogue page numbers, so the people who know the book still land in the right place. | $2,900",outdated-design;poor-seo;manual-processes,32000,"$22,000","$46,000",06082026
Krieger Specialty Products,Director of Business Development,sales@kriegerproducts.com,"Acoustic, blast and RF-shielded doors",Los Angeles,CA,USA,https://www.kriegerproducts.com,The whole product is a performance matrix — STC rating against size against material against hardware — and the site presents it as a set of product families with the ratings buried in PDFs.,cold-outreach,researched,"Subject: They arrive knowing the STC

Hi [First Name],

I went through kriegerproducts.com the way a spec writer would on a studio project: STC 55 minimum, a 4-foot leaf, and a test report that will survive an acoustician reading it properly.

The engineering credibility is obvious — the range of ratings you actually hold test data for is not something most door manufacturers can claim.

But there's a structural problem underneath it that isn't anyone's fault. Every specifier arrives already knowing the number they need — an STC, a blast pressure, a shielding level — and your site is organised by product family, so they have to work backwards from your naming to find out which door meets their number. The test reports that would settle it are the hardest documents on the site to reach. When a door has to satisfy two ratings at once, the only path left is a phone call to your team, and that call happens hundreds of times a year about information you already have written down.

I built one screen to show what it looks like when the site starts from their number instead of your product families. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

The number goes in at the top — STC, blast pressure, shielding — and the doors that meet it come back underneath, each with its test report attached rather than filed somewhere else. Ask for two ratings at once and the list narrows to the doors that hold both, which is the bit that can't happen today.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions I'd genuinely like your view on either way: how often does a specifier need two ratings on one opening? And is leaf size a filter or something that gets resolved later with your team?

[Sender Name]",Your entire product is a performance matrix — STC rating against size against blast pressure — and the site presents it as product families with the ratings buried in PDFs.,Rating-first is the whole pitch. Nobody in specialty doors leads with the number the specifier already has in their hand.,specialty-doors;spec-data;field-run-002,86,Specifiers arrive with a required rating and have to work backwards through product families to find what meets it.,"STC, blast and RF ratings sit in separate PDFs, so a door that has to satisfy two of them at once is a phone call.",Test reports — the documents that actually win the spec — are the hardest thing on the site to find.,"Rating-first selector: enter the STC, blast pressure or shielding required, get the doors that meet it. | $10,400","Every test report attached to the door it belongs to, downloadable without asking. | $4,800","Submittal pack generated per door, which is what the contractor needs and currently emails for. | $5,200","Sizing and hardware configurator so the spec arrives buildable. | $6,400","Spec-writer accounts with saved projects and three-part spec text. | $3,600",outdated-design;manual-processes;poor-seo,28000,"$19,000","$40,000",06082026
Wooster Products,Director of Sales and Marketing,info@wooster-products.com,Anti-slip stair treads and safety flooring,Wooster,OH,USA,https://www.wooster-products.com,"Product families, abrasive grades, sizes and finishes cross-multiply into a large catalogue shown as a page-per-family, with nothing that maps a building type to the right product.",cold-outreach,researched,"Subject: Nobody arrives knowing the product family

Hi [First Name],

I went through wooster-products.com as a facilities manager would: a school stairwell that fails a slip test, a hundred treads needed, and a purchase order that has to go out this week.

The product itself has a reputation that predates the website by decades — anti-slip stair treads are a category you helped define, and that shows in the range.

But there's a structural problem underneath it that isn't anyone's fault. The site is organised by product family, and nobody arrives knowing your product family names. They arrive knowing a building type, a traffic level and a substrate. Between grades, sizes and finishes there are hundreds of valid SKUs, and a website can only show those as a list of pages — so the person with a purchase order to raise ends up calling to be told which one they want. Then they still have to find out where to buy it, on a different page entirely.

I built one screen to show what it looks like when the site starts from the building instead of the product family. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Building type, traffic level and substrate at the top; the treads that suit them underneath, narrowed by grade and size as you go. The distributor who stocks it shows on the same card as the product, which is the bit that can't happen today — right now those are two different journeys and the second one loses people.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions, whether or not this goes anywhere: is substrate the filter that actually decides it, or is it traffic? And do facilities teams reorder by SKU, or by describing what they've got?

[Sender Name]","A facilities manager arrives knowing the building type and the traffic, not your product family names — and the site is organised entirely by product family names.","Two buyers on one site — architects specifying and facilities teams reordering. The selector serves the first, where-to-buy serves the second.",industrial-manufacturing;catalogue-depth;field-run-002,80,Site is organised by product family; buyers arrive knowing a building type and a traffic level instead.,"Abrasive grade, size and finish cross-multiply into hundreds of SKUs with no way to narrow them.","Nothing connects the specification to where you actually buy it, so the trail goes cold at the distributor step.","Application-first selector: building type, traffic and substrate in, the right tread out. | $7,800","SKU finder across grade, size and finish, updating live. | $5,200","Where-to-buy tied to the selected product rather than a separate distributor page. | $3,400","Specification text and CAD details per product for the architects. | $4,200","Replacement-parts flow for facilities teams reordering a tread they already have. | $3,000",outdated-design;not-mobile-friendly;manual-processes,19500,"$13,000","$29,000",06082026
Ferguson Perforating,Director of Sales,sales@fergusonperf.com,Perforated metal fabrication,Providence,RI,USA,https://www.fergusonperf.com,"Hole patterns are the entire product and they are shown as a downloadable chart. No filtering by open area, hole size, gauge or material, and no way to see the pattern at scale.",cold-outreach,researched,"Subject: Your most-used page is a download

Hi [First Name],

I went through fergusonperf.com the way a sheet metal buyer would: perforated stainless for an equipment enclosure, needs roughly 40% open area, 16 gauge, and a pattern you already have tooling for so it doesn't cost a fortune.

The capability is clearly there — the range of patterns and materials you run is broader than most shops twice your size.

But there's a structural problem underneath it that isn't anyone's fault. The pattern chart is the most-used thing on your website and it's a PDF download. That means the single page a buyer wants can't be searched, can't be linked, and can't be narrowed. Someone choosing perforation is filtering — open area first, then hole size, then gauge, then whether you've already got the tooling — and a chart cannot filter. So they download it, squint at it, and call to ask the four questions the site could have answered.

I built one screen to show what that chart looks like as a filterable finder, with the patterns shown at scale in the material. Inside your existing site, nothing redesigned. Two minutes, and I won't chase you about it.

Want me to send it over?

[Sender Name]
Bothmade","Subject: Here it is

Here it is.

Open area, hole size, centre spacing, gauge and material down the left; the patterns narrow live as you move them. Each one is shown at scale in the material rather than as a line drawing, and patterns you already have tooling for are flagged — which is the bit that can't happen today and the bit a buyer actually cares about.

It's a static design rather than a working build, so nothing clicks. I'd rather show the idea honestly than fake a demo.

Two questions I'd like your answer to either way: is flagging existing tooling something you'd want public, or is that a conversation you'd rather have on the phone? And is open area the first filter, or gauge?

[Sender Name]","Hole patterns are your entire product and they are a downloadable chart — a buyer choosing perforation is filtering by open area and gauge, which a chart cannot do.","The tooling-library angle is unusually strong here: buying an existing pattern is cheaper, and nobody makes that easy to see.",industrial-manufacturing;catalogue-depth;field-run-002,82,"The pattern chart is a download, so the most-used page on the site is a file nobody can link to or search.","No filtering by open area, hole size, gauge or material — the four things every buyer narrows on.","Patterns are shown as line drawings, not at scale in the actual material, so the visual decision happens off-site.","Pattern finder filtering on open area, hole diameter, centre spacing, gauge and material. | $8,600","Every pattern shown at scale in the material, not as a line drawing. | $5,400","Quote request carrying pattern, material and sheet size out of the finder. | $3,200","Tooling library page — the patterns you already own tooling for, which is a genuine cost argument for the buyer. | $4,600","Architectural gallery indexed by pattern, so a specifier can find the job that used it. | $3,400",outdated-design;poor-seo;manual-processes,20000,"$14,000","$30,000",06082026
