company,email,industry,city,state,country,originalWebsite,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,estimatedValue,lowestEstimate,highestEstimate,dateAdded
12 Oaks Dental,,Cosmetic dentistry,Austin,TX,USA,,cold-outreach,researched,"Subject: one thing worth flagging

Hi [First Name],

I looked at 12 Oaks Dental the way a patient who has been putting this off for three years looks at it — half-decided, on a phone, easily scared off.

The clinical side is clearly strong, and this is a category where patients can tell.

There's a problem underneath it that isn't anybody's fault. The decision happens at night on a phone, and booking usually means ringing a front desk between nine and five, so the moment somebody finally feels ready has nowhere to go. One case a month lost that way is more than a website costs, several times over.

Here's what I'd like to do about it. I'll build 12 Oaks Dental a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is.

Cases first, filterable by treatment, with a price range stated plainly and a booking that works at 9pm.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd genuinely like your view on: would you separate the cosmetic patient from the general one like this? And how many cases a month start as a form rather than a call?

[Sender Name]",the cosmetic patient and the check-up patient want opposite things from one homepage,"No website found in research. Look up the site and address, or call.",field-run-003;cosmetic-dentistry;TX,75,12000,"$6,000","$22,000",06082026
41 West,info@41west.com,Custom home building,Naples,FL,USA,https://41west.com,cold-outreach,researched,"Subject: one thing about your gallery

Hi [First Name],

I looked at 41 West the way people do at the start of this — nervous, doing homework, trying to work out who is going to be easy to work with for eighteen months.

Nobody builds at this level by accident — the craft comes across.

But there's a structural problem underneath it that isn't anyone's fault. Your portfolio is the entire product and it's shown as a grid of thumbnails with no way to sort by budget, style or scope. The buyer with a specific project cannot find the one job that looks like theirs, and that project is the only thing that would have convinced them. So they leave without finding it, and go and look at the builder whose site let them filter.

I'd like to build you one. A homepage concept for 41 West, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: here it is

Here it is — 41 West, as promised.

Projects sortable the way people actually choose, plus the process laid out month by month, because that's the thing they're really nervous about.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your answer to: do people arrive with a lot already, or before? And would showing the process month by month help you or scare people?

[Sender Name]","the enquiry form asks for a name and a message, so every lead arrives unqualified","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;custom-home-building;FL,75,22000,"$12,000","$35,000",06082026
4Ever Young Med Spa & Wellness,,Med spa,Boca Raton,FL,USA,,cold-outreach,researched,"Subject: the gap between your reviews and your site

Hi [First Name],

I spent twenty minutes on your site the way a first-time client would: scrolling on a phone, comparing you against two other Boca Raton spas, ready to book if someone made it easy.

The reviews are doing a lot of work for you, and the treatment menu is clearly built by people who know the category.

But there's a structural problem underneath it that isn't anyone's fault. A website can list treatments; it can't take a booking at nine at night, and nine at night is when the decision gets made. Most spa sites hand that moment to a phone number and office hours. That's a booking a night that goes somewhere else, and nobody ever knows it happened.

Here's my offer, and it's a simple one. Let me build 4Ever Young Med Spa & Wellness a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Want me to send one over?

[Sender Name]
Bothmade","Subject: 4Ever Young Med Spa & Wellness — here it is

Here it is. Two minutes and you have seen it.

Everything a phone-first client needs in one screen: what it costs, what it looks like, and a slot on Thursday, without a phone call.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your answer to either way: would you let clients book without a consult call first? And is membership the thing you'd want pushed hardest here?

[Sender Name]","everyone arriving is already sold and wants a time, and the site is built to describe treatments instead","No website found in research. Look up the site and address, or call.",field-run-003;med-spa;FL,75,10000,"$5,000","$18,000",06082026
61Five Health & Wellness,,Med spa,Nashville,TN,USA,,cold-outreach,researched,"Subject: booking you at 9pm

Hi [First Name],

I went looking for a med spa in Nashville the way a new client does — on a phone, in the evening, three tabs open, wanting to book Botox for Thursday.

The reviews are doing a lot of work for you, and the treatment menu is clearly built by people who know the category.

But there's a structural problem underneath it that isn't anyone's fault. A website can list treatments; it can't take a booking at nine at night, and nine at night is when the decision gets made. Most spa sites hand that moment to a phone number and office hours. The client doesn't wait until morning to call. She books wherever the button was.

Here's my offer, and it's a simple one. Let me build 61Five Health & Wellness a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is — 61Five Health & Wellness, as promised.

Treatments priced and bookable in two taps, reviews on the same screen, and the memberships made obvious rather than hidden three pages in.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your answer to either way: would you let clients book without a consult call first? And is membership the thing you'd want pushed hardest here?

[Sender Name]","everyone arriving is already sold and wants a time, and the site is built to describe treatments instead","No website found in research. Look up the site and address, or call.",field-run-003;med-spa;TN,75,10000,"$5,000","$18,000",06082026
A1 Building Concepts,,Kitchen and bath remodeling,Denver,CO,USA,,cold-outreach,researched,"Subject: what your form doesn't ask

Hi [First Name],

I spent a while on your site as a homeowner who has been putting this off for two years and has finally decided to do it.

The finished work looks genuinely good, and the reviews say the crews turn up — which in this trade is half the sale.

But there's a structural problem underneath it that isn't anyone's fault. Before-and-afters are what sell this, and they're usually shown as a small unfilterable gallery — so the homeowner with a galley kitchen never finds your galley kitchen. That's a $60k kitchen going to the company whose site made it feel easy.

Here's what I'd like to do about it. I'll build A1 Building Concepts a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Want me to send one over?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is.

Projects sorted the way homeowners choose, ranges said out loud, and a form that arrives ready to quote.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd like your answer to either way: would you show budget bands? And what do you wish every enquiry told you before you rang them back?

[Sender Name]",before-and-afters are what sell this and they are shown as a small unfilterable gallery,"No website found in research. Look up the site and address, or call.",field-run-003;kitchen-and-bath-remodeling;CO,75,8500,"$4,000","$15,000",06082026
AIR Kitchen and Bath,info@airkitchenandbath.com,Kitchen and bath remodeling,Atlanta,GA,USA,https://airkitchenandbath.com,cold-outreach,researched,"Subject: Atlanta · the unqualified enquiry problem

Hi [First Name],

I spent a while on your site as a homeowner who has been putting this off for two years and has finally decided to do it.

The finished work looks genuinely good, and the reviews say the crews turn up — which in this trade is half the sale.

But there's a structural problem underneath it that isn't anyone's fault. Before-and-afters are what sell this, and they're usually shown as a small unfilterable gallery — so the homeowner with a galley kitchen never finds your galley kitchen. That's a $60k kitchen going to the company whose site made it feel easy.

Here's what I'd like to do about it. I'll build AIR Kitchen and Bath a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Want me to build you one?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is.

Projects sorted the way homeowners choose, ranges said out loud, and a form that arrives ready to quote.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions I'd like your answer to either way: would you show budget bands? And what do you wish every enquiry told you before you rang them back?

[Sender Name]",before-and-afters are what sell this and they are shown as a small unfilterable gallery,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;kitchen-and-bath-remodeling;GA,75,8500,"$4,000","$15,000",06082026
Advanced Fertility Center of Chicago,info@advancedfertility.com,Fertility clinic,Chicago,IL,USA,https://advancedfertility.com,cold-outreach,researched,"Subject: the 2am research problem

Hi [First Name],

I went through your site the way someone starting IVF in Chicago does — at two in the morning, on a phone, six months into researching, terrified and thorough.

This is a decision people research harder than a house purchase, and your reputation is clearly holding up to it.

But something structural is in the way, and it isn't anyone's fault. This is a twenty-thousand-dollar decision made by exhausted people at 2am, and most clinic sites are written for a referring physician rather than for them. So they book a consult with the clinic that answered the money question without making them ask.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Advanced Fertility Center of Chicago, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: Advanced Fertility Center of Chicago — here it is

Here it is.

Costs stated plainly, success rates explained in language a patient understands rather than a table they can't read, and a consult request that works at two in the morning.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on: is publishing cost ranges something you'd do? And which of your numbers do patients misread most often?

[Sender Name]",what it costs and what the success rates mean are the two hardest things on the site to find,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;fertility-clinic;IL,75,22000,"$12,000","$35,000",06082026
Aeris Plastic Surgery,info@aeris.co,Plastic surgery,Miami,FL,USA,https://aeris.co,cold-outreach,researched,"Subject: the 11pm version of your site

Hi [First Name],

I went looking for a plastic surgeon in Miami the way a patient actually does — at eleven at night, on a phone, having already read every review twice.

The surgical reputation is clearly there, and the reviews say what reviews for a good practice say.

But there's a structural problem underneath it that isn't anyone's fault. Your before-and-afters are the product — they are the single thing that converts — and on a phone they're usually three taps deep, in a viewer that fights you, with no way to filter to the one procedure she actually came for. So the request that would have come in at 11pm doesn't, and by morning she's booked a consult with whoever made it easy.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Aeris Plastic Surgery, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Want me to build you one?

[Sender Name]
Bothmade","Subject: here it is

Here it is. Two minutes and you have seen it.

A phone-first layout: results at the top filterable by procedure, the reviews next to them where they do the most work, and a consult request that takes fifteen seconds at midnight.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on either way: which procedure do most of your consult requests come in for? And would you ever let someone book a consult without speaking to your coordinator first?

[Sender Name]",the gallery is what converts a consult and on a phone it is three taps deep and unfilterable,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;plastic-surgery;FL,75,16000,"$8,000","$28,000",06082026
Aesthetica Med Spa,,Med spa,Austin,TX,USA,,cold-outreach,researched,"Subject: one thing about your booking

Hi [First Name],

I looked at Aesthetica Med Spa the way a client who follows you on Instagram does — arriving from a phone, already sold on the treatment, just needing a time.

The client loyalty in this category is everything and yours reads real.

But there's a structural problem underneath it that isn't anyone's fault. A website can list treatments; it can't take a booking at nine at night, and nine at night is when the decision gets made. Most spa sites hand that moment to a phone number and office hours. Every one of those is revenue that left without leaving a trace.

Here's what I'd like to do about it. I'll build Aesthetica Med Spa a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: Aesthetica Med Spa — here it is

Here it is — Aesthetica Med Spa, as promised.

Booking is the homepage — pick the treatment, pick a time, done — with the reviews sitting right beside it where they close the sale.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your view on: are prices on the site a help or a headache for you? And which treatment brings you the most new clients?

[Sender Name]",the reviews doing the selling live on Google rather than on the homepage where the decision is made,"No website found in research. Look up the site and address, or call.",field-run-003;med-spa;TX,75,10000,"$5,000","$18,000",06082026
Alair Homes Dallas,,Custom home building,Dallas,TX,USA,,cold-outreach,researched,"Subject: one thing about your gallery

Hi [First Name],

I looked at Alair Homes Dallas the way people do at the start of this — nervous, doing homework, trying to work out who is going to be easy to work with for eighteen months.

The work itself is the strongest thing you have, and the photography does show it.

But something structural is working against you, and it isn't anybody's fault. What people are actually frightened of is the process — eighteen months, their money, decisions they've never made before — and almost no builder's site addresses that anywhere, so the fear does its work in silence. That's a real project deciding, quietly, that you're not the one — on no evidence either way.

I'd like to build you one. A homepage concept for Alair Homes Dallas, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: Alair Homes Dallas — here it is

Here it is. Two minutes and you have seen it.

A portfolio you can filter and an enquiry that asks about the lot, the budget and the timing — so your first call starts where the third one currently does.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your answer to: do people arrive with a lot already, or before? And would showing the process month by month help you or scare people?

[Sender Name]","the enquiry form asks for a name and a message, so every lead arrives unqualified","No website found in research. Look up the site and address, or call.",field-run-003;custom-home-building;TX,75,22000,"$12,000","$35,000",06082026
