Advanced Specialty Care & Med Spa	advancedspecialtycare@nampaobgyn.com	idahoadvancedspecialtycare.com	Med spa	Boise	ID	confirmed	(208) 468-9400
OM Med Spa	info@ommedspa.com	ommedspa.com	Med spa	Boise	ID	convention	(208) 917-2782
Spa 35 Med Spa	info@spa35.com	spa35.com	Med spa	Boise	ID	convention	(208) 367-0700
Silk Touch Cosmetic Surgery & Medspa	info@silktouchmedspa.com	silktouchmedspa.com	Med spa	Boise	ID	convention	(208) 939-3110
The Spa Boise	info@thespaboise.com	thespaboise.com	Med spa	Boise	ID	convention	(208) 590-7721
Midtown Craftsmen	info@mtcrestoration.com	mtcrestoration.com	Kitchen and bath remodeling	Grand Rapids	MI	convention	(616) 245-5970
Grand Rapids Remodeling Pros	info@remodelgrandrapids.com	remodelgrandrapids.com	Kitchen and bath remodeling	Grand Rapids	MI	convention	(616) 344-9985
Andyman Improvements	info@theandymanimprovements.com	theandymanimprovements.com	Kitchen and bath remodeling	Grand Rapids	MI	convention	(616) 426-2639
Messner Landscape	info@messnerlandscape.com	messnerlandscape.com	Landscape design build	Madison	WI	convention	(608) 455-2323
Proscapes Landscape Contractor	info@proscapesllc.com	proscapesllc.com	Landscape design build	Madison	WI	convention	(608) 244-6464
Sprout Landscape & Garden	info@sproutlandscape.com	sproutlandscape.com	Landscape design build	Madison	WI	convention	(608) 609-5772
Pool Creations	info@poolcreationsinc.com	poolcreationsinc.com	Pool building	Tulsa	OK	confirmed	(918) 289-0779
Atlantis Pools & Spas	service@bestpoolguys.com	atlantispoolsandspasinc.com	Pool building	Tulsa	OK	confirmed	(918) 641-1100
Tulsa Custom Pools	info@tulsacustompools.com	tulsacustompools.com	Pool building	Tulsa	OK	convention	(918) 250-0005
Sierra Pools and Spas	info@sierrapoolsandspas.com	sierrapoolsandspas.com	Pool building	Tulsa	OK	convention	(918) 884-8427
Arnold Dental	info@lexingtonsmiles.com	cosmeticdentistryoflexington.com	Cosmetic dentistry	Lexington	KY	confirmed	(859) 269-1000
Broadway Family & Cosmetic Dentistry	info@thelexingtonkydentists.com	thelexingtonkydentists.com	Cosmetic dentistry	Lexington	KY	convention	(859) 253-3242
Lexington Family Dentistry	info@lexingtonfamilydentistry.org	lexingtonfamilydentistry.org	Cosmetic dentistry	Lexington	KY	convention	(859) 263-0550
Dentistry Plus Lexington	info@dentistrypluslexington.com	dentistrypluslexington.com	Cosmetic dentistry	Lexington	KY	convention	(859) 263-1818
Audubon Dental & Implant Center	info@audubondentalcenter.com	audubondentalcenter.com	Cosmetic dentistry	Lexington	KY	convention	(859) 252-5220
Davis Custom Homes	info@davis-custom-homes.com	davis-custom-homes.com	Custom home building	Omaha	NE	convention	(402) 706-1814
Story Homes Omaha	info@storyhomesomaha.com	storyhomesomaha.com	Custom home building	Omaha	NE	convention	(402) 305-4031
Mercury Builders	info@mercurybuilders.com	mercurybuilders.com	Custom home building	Omaha	NE	convention	(402) 689-1423
Unique Custom Home Plans	contact@uniquecustomhomeplans.com	uniquecustomhomeplans.com	Custom home building	Omaha	NE	confirmed	(402) 672-0419
Quest Custom Homes	info@questhomesomaha.com	questhomesomaha.com	Custom home building	Omaha	NE	convention	(402) 758-1805
Nielsen Custom Homes	info@nielsencustomhomes.com	nielsencustomhomes.com	Custom home building	Omaha	NE	convention	(402) 426-2059
Nuyu Med Spa	info@nuyumedspanm.com	nuyumedspanm.com	Med spa	Albuquerque	NM	confirmed	(505) 681-6657
Reverse MedEsthetics and Health Spa	info@reversemedicalspaabq.com	reversemedicalspaabq.com	Med spa	Albuquerque	NM	confirmed	(505) 377-4581
ABQ Medical Spa	ABQmedicalSpa@gmail.com	medspaalbuquerque.com	Med spa	Albuquerque	NM	confirmed	(505) 433-3072
WSNM Med Spa	info@wsnmmedspa.com	wsnmmedspa.com	Med spa	Albuquerque	NM	convention	(505) 314-1444
Bair Medical Spa	info@bairmedicalspa.com	bairmedicalspa.com	Med spa	Albuquerque	NM	convention	(505) 881-1532
ImproveAmerica	info@improveamericainc.com	improveamericainc.com	Kitchen and bath remodeling	Chattanooga	TN	convention	(423) 622-0888
Parsons Custom Builders	info@parsonscustombuilders.com	parsonscustombuilders.com	Custom home building	Spokane	WA	confirmed	(509) 928-9008
Terra Homes	info@myterrahomes.com	myterrahomes.com	Custom home building	Spokane	WA	convention	(509) 477-9153
