vertical,niche,metro,mapsQuery,keepIf,typicalWebBudget,whyTheyBuy,targetRows
Medical & aesthetic,Plastic surgery,"Scottsdale, AZ","plastic surgeon Scottsdale, AZ",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Newport Beach, CA","plastic surgeon Newport Beach, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Irvine, CA","plastic surgeon Irvine, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"San Diego, CA","plastic surgeon San Diego, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Beverly Hills, CA","plastic surgeon Beverly Hills, CA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Bellevue, WA","plastic surgeon Bellevue, WA",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Denver, CO","plastic surgeon Denver, CO",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Austin, TX","plastic surgeon Austin, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"Dallas, TX","plastic surgeon Dallas, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
Medical & aesthetic,Plastic surgery,"The Woodlands, TX","plastic surgeon The Woodlands, TX",rating >= 4.4 AND reviews >= 40 AND has website AND website is not Wix/Squarespace-default AND no online booking,$12k-35k,"Six-figure procedures, ad-funded, and the gallery is the product. Decisions made at night on a phone.",5
